Study,Treatment,Number.of.patients,Number.of.remissions,Number.of.relapses,Number.of.adverse.event.related.withdrawals,Cumulative.dose.of.steroid_Mean,Cumulative.dose.of.steroid_SD
Beissert 2006,MMF,21,20,,0.0,9334.0,13280.0
Beissert 2006,AZA,19,13,,2.0,8916.0,29844.0
Beissert 2010,Steroid alone,37,23,14.0,1.0,8570.0,3501.0
Beissert 2010,MMF,59,40,16.0,2.0,8078.0,3494.0
Davatchi 2007,Steroid alone,30,23,,1.0,11631.0,7740.0
Davatchi 2007,AZA,30,24,,2.0,7712.0,955.0
Davatchi 2007,MMF,30,21,,1.0,9798.0,3995.0
Davatchi 2007,CP_P,30,22,,0.0,8276.0,810.0
Davatchi 2013,Steroid alone,28,11,9.0,,10389.0,
Davatchi 2013,AZA,28,15,6.0,,8933.0,
Ioannides 2000,Steroid alone,17,11,2.0,0.0,2708.0,199.0
Ioannides 2000,Cyclosporine,16,11,1.0,0.0,2657.0,189.0
Ioannides 2012,Steroid alone,23,18,2.0,0.0,3903.0,
Ioannides 2012,MMF,24,20,3.0,0.0,3551.0,
Rose 2005,AZA,11,8,,1.0,,
Rose 2005,DCP_C（6M）,11,4,,0.0,,
Sethy 2009,DCP_C（12M）,15,9,5.0,,,
Sethy 2009,CP_P,13,6,4.0,,,
Sharma 2013,CP_P,34,30,14.0,0.0,8990.0,
Sharma 2013,Steroid alone,26,19,10.0,0.0,10540.0,
Joly 2017,Rituximab,46,41,11.0,0.0,6143.1,2411.0
Joly 2017,Steroid alone,44,16,20.0,8.0,17973.6,7272.5
